No.,Title,IMDb Rating
59,The Shawshank Redemption (1994),9.3
56,The Godfather (1972),9.2
74,The Dark Knight (2008),9
4,Spider-Man: Across the Spider-Verse (2023),8.9
93,Inception (2010),8.8
51,Interstellar (2014),8.7
22,Spider-Man: Into the Spider-Verse (2018),8.4
44,Raiders of the Lost Ark (1981),8.4
57,Past Lives (2023),8.4
58,Top Gun: Maverick (2022),8.3
25,Guardians of the Galaxy Vol. 3 (2023),8.2
69,Indiana Jones and the Last Crusade (1989),8.2
71,Spider-Man: No Way Home (2021),8.2
95,Jaws (1975),8.1
33,Take Care of Maya (2023),8
64,Dune: Part One (2021),8
17,John Wick: Chapter 4 (2023),7.9
26,Titanic (1997),7.9
61,Avatar (2009),7.9
65,The Batman (2022),7.8
72,Everything Everywhere All at Once (2022),7.8
75,Sound of Freedom (2022),7.8
86,A Bronx Tale (1993),7.8
83,The Whale (2022),7.7
10,Avatar: The Way of Water (2022),7.6
53,Black Clover: Sword of the Wizard King (2023),7.6
101,Harry Potter and the Sorcerer's Stone (2001),7.6
20,Guy Ritchie's The Covenant (2023),7.5
40,Air (2023),7.5
54,A Man Called Otto (2022),7.5
60,BlackBerry (2023),7.5
82,Indiana Jones and the Temple of Doom (1984),7.5
97,Batman (1989),7.5
90,John Wick (2014),7.4
29,Dungeons & Dragons: Honor Among Thieves (2023),7.3
85,Bullet Train (2022),7.3
2,The Flash (2023),7.2
13,The Little Mermaid (2023),7.2
78,Babylon (2022),7.2
80,The Menu (2022),7.2
81,The Full Monty (1997),7.2
3,Extraction 2 (2023),7.1
6,Asteroid City (2023),7.1
8,Elemental (2023),7.1
23,The Super Mario Bros. Movie (2023),7.1
66,Midsommar (2019),7.1
28,Beau Is Afraid (2023),7
52,The Mule (2018),7
37,Flamin' Hot (2023),6.9
48,Sisu (2022),6.9
5,No Hard Feelings (2023),6.8
9,Extraction (2020),6.8
55,Creed III (2023),6.8
32,Evil Dead Rise (2023),6.7
70,Reality (2023),6.7
11,Transformers: Rise of the Beasts (2023),6.6
39,X (2022),6.6
62,Chevalier (2022),6.6
67,Sanctuary (2022),6.6
77,Scream VI (2023),6.6
36,The Blackening (2022),6.5
91,Joy Ride (2023),6.5
43,Renfield (2023),6.4
14,Culpa m a (2023),6.3
41,Nefarious (2023),6.3
92,Don't Worry Darling (2022),6.3
31,The Machine (2023),6.1
38,The Boogeyman (2023),6.1
42,Ant-Man and the Wasp: Quantumania (2023),6.1
94,The Pope's Exorcist (2023),6.1
96,Love (2015),6.1
24,Kandahar (2023),6
34,The Wrath of Becky (2023),6
50,Shazam! Fury of the Gods (2023),6
18,Fast X (2023),5.9
73,"Ruby Gillman, Teenage Kraken (2023)",5.9
45,About My Father (2023),5.8
98,Ghosted (2023),5.8
76,Hypnotic (2023),5.4
89,65 (2023),5.4
88,A trav s del mar (2023),5
21,Adipurush (2023),4.4
1,,
7,Challengers (2023),
12,Indiana Jones and the Dial of Destiny (2023),
15,Kraven the Hunter (2023),
16,Oppenheimer (2023),
19,Barbie (2023),
27,Heart of Stone (2023),
30,Mission: Impossible - Dead Reckoning Part One (2023),
35,Killers of the Flower Moon (2023),
46,The Beanie Bubble (2023),
47,"Priscilla (

10,887)",
49,Rebel Moon (2023),
63,Cobweb (2023),
68,Zoey 102 (2023),
79,Expend4bles (2023),
84,Dune: Part Two (2023),
87,Five Nights at Freddy's (2023),
99,Drive-Away Dolls (2023),
100,Spider-Man: Beyond the Spider-Verse (2024),
