No.,Title,IMDb Rating
127,The Shawshank Redemption (1994),9.2
184,The Godfather (1972),9.2
59,The Dark Knight (2008),9
180,The Godfather Part II (1974),9
213,12 Angry Men (1957),9
80,The Lord of the Rings: The Return of the King (2003),8.9
132,Schindler's List (1993),8.9
2,Spider-Man: Across the Spider-Verse (2023),8.8
91,The Lord of the Rings: The Fellowship of the Ring (2001),8.8
128,Forrest Gump (1994),8.8
130,Pulp Fiction (1994),8.8
189,"Il buono, il brutto, il cattivo (1966)",8.8
48,Inception (2010),8.7
87,The Lord of the Rings: The Two Towers (2002),8.7
101,Fight Club (1999),8.7
105,The Matrix (1999),8.7
141,GoodFellas (1990),8.7
167,Star Wars: Episode V - The Empire Strikes Back (1980),8.7
30,Interstellar (2014),8.6
89,Cidade de Deus (2002),8.6
100,The Green Mile (1999),8.6
107,Saving Private Ryan (1998),8.6
111,La vita   bella (1997),8.6
121,Se7en (1995),8.6
139,The Silence of the Lambs (1991),8.6
177,One Flew Over the Cuckoo's Nest (1975),8.6
219,Shichinin no samurai (1954),8.6
230,It's a Wonderful Life (1946),8.6
13,Gisaengchung (2019),8.5
34,Whiplash (2014),8.5
42,The Intouchables (2011),8.5
66,The Prestige (2006),8.5
67,The Departed (2006),8.5
88,The Pianist (2002),8.5
93,Sen to Chihiro no kamikakushi (2001),8.5
99,Gladiator (2000),8.5
108,American History X (1998),8.5
124,The Usual Suspects (1995),8.5
126,L on (1994),8.5
129,The Lion King (1994),8.5
138,Terminator 2: Judgment Day (1991),8.5
146,Hotaru no haka (1988),8.5
153,Back to the Future (1985),8.5
172,Star Wars (1977),8.5
199,Seppuku (1962),8.5
202,Psycho (1960),8.5
233,Casablanca (1942),8.5
15,Spider-Man: Into the Spider-Verse (2018),8.4
18,Avengers: Infinity War (2018),8.4
39,Django Unchained (2012),8.4
60,WALL E (2008),8.4
69,The Lives of Others (2006),8.4
95,Memento (2000),8.4
144,Nuovo Cinema Paradiso (1988),8.4
163,Raiders of the Lost Ark (1981),8.4
166,The Shining (1980),8.4
169,Alien (1979),8.4
170,Apocalypse Now (1979),8.4
186,Once Upon a Time in the West (1968),8.4
210,Witness for the Prosecution (1957),8.4
211,Paths of Glory (1957),8.4
216,Rear Window (1954),8.4
226,Sunset Blvd. (1950),8.4
236,The Great Dictator (1940),8.4
242,Modern Times (1936),8.4
245,City Lights (1931),8.4
11,Joker (2019),8.3
14,Avengers: Endgame (2019),8.3
17,Capharna m (2018),8.3
19,Coco (2017),8.3
24,Kimi no na wa. (2016),8.3
40,The Dark Knight Rises (2012),8.3
41,Jagten (2012),8.3
49,Toy Story 3 (2010),8.3
52,3 Idiots (2009),8.3
55,Inglourious Basterds (2009),8.3
78,Eternal Sunshine of the Spotless Mind (2004),8.3
81,Oldeuboi (2003),8.3
97,Requiem for a Dream (2000),8.3
102,American Beauty (1999),8.3
112,Good Will Hunting (1997),8.3
113,Mononoke-hime (1997),8.3
119,Toy Story (1995),8.3
123,Braveheart (1995),8.3
137,Reservoir Dogs (1992),8.3
151,Aliens (1986),8.3
152,Idi i smotri (1985),8.3
156,Amadeus (1984),8.3
157,Once Upon a Time in America (1984),8.3
159,Star Wars: Episode VI - Return of the Jedi (1983),8.3
162,Das Boot (1981),8.3
187,2001: A Space Odyssey (1968),8.3
194,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.3
196,Tengoku to jigoku (1963),8.3
223,Singin' in the Rain (1952),8.3
4,Top Gun: Maverick (2022),8.2
7,Hamilton (2020),8.2
8,The Father (2020),8.2
9,1917 (2019),8.2
16,Green Book (2018),8.2
22,Dangal (2016),8.2
35,The Wolf of Wall Street (2013),8.2
46,Jodaeiye Nader az Simin (2011),8.2
47,Incendies (2010),8.2
51,Shutter Island (2010),8.2
56,Up (2009),8.2
61,Taare Zameen Par (2007),8.2
62,There Will Be Blood (2007),8.2
68,Pan's Labyrinth (2006),8.2
72,Batman Begins (2005),8.2
76,Der Untergang (2004),8.2
90,A Beautiful Mind (2001),8.2
94,Le fabuleux destin d'Am lie Poulain (2001),8.2
96,Snatch (2000),8.2
103,The Sixth Sense (1999),8.2
109,The Truman Show (1998),8.2
114,L.A. Confidential (1997),8.2
118,Heat (1995),8.2
120,Casino (1995),8.2
133,Jurassic Park (1993),8.2
136,Unforgiven (1992),8.2
143,Indiana Jones and the Last Crusade (1989),8.2
145,Die Hard (1988),8.2
148,Full Metal Jacket (1987),8.2
154,Ran (1985),8.2
158,Scarface (1983),8.2
175,Taxi Driver (1976),8.2
183,The Sting (1973),8.2
185,A Clockwork Orange (1971),8.2
192,Per qualche dollaro in pi  (1965),8.2
197,To Kill a Mockingbird (1962),8.2
198,Lawrence of Arabia (1962),8.2
200,Judgment at Nuremberg (1961),8.2
203,The Apartment (1960),8.2
205,North by Northwest (1959),8.2
207,Some Like It Hot (1959),8.2
208,Vertigo (1958),8.2
222,Ikiru (1952),8.2
224,All About Eve (1950),8.2
228,Ladri di biciclette (1948),8.2
232,Double Indemnity (1944),8.2
235,Citizen Kane (1941),8.2
244,M - Eine Stadt sucht einen M rder (1931),8.2
247,Metropolis (1927),8.2
251,The Kid (1921),8.2
3,Guardians of the Galaxy Vol. 3 (2023),8.1
5,Spider-Man: No Way Home (2021),8.1
10,Klaus (2019),8.1
12,Ford v Ferrari (2019),8.1
20,"Three Billboards Outside Ebbing, Missouri (2017)",8.1
23,Hacksaw Ridge (2016),8.1
26,Room (2015),8.1
28,Inside Out (2015),8.1
29,Mad Max: Fury Road (2015),8.1
31,Gone Girl (2014),8.1
32,Relatos salvajes (2014),8.1
33,The Grand Budapest Hotel (2014),8.1
37,Prisoners (2013),8.1
38,12 Years a Slave (2013),8.1
43,Warrior (2011),8.1
45,Harry Potter and the Deathly Hallows: Part 2 (2011),8.1
50,How to Train Your Dragon (2010),8.1
53,El secreto de sus ojos (2009),8.1
57,Mary and Max. (2009),8.1
58,Gran Torino (2008),8.1
65,No Country for Old Men (2007),8.1
70,V for Vendetta (2005),8.1
73,Million Dollar Baby (2004),8.1
77,Hauru no ugoku shiro (2004),8.1
82,Kill Bill: Vol. 1 (2003),8.1
84,Finding Nemo (2003),8.1
85,Salinui chueok (2003),8.1
86,Catch Me If You Can (2002),8.1
92,"Monsters, Inc. (2001)",8.1
106,"Lock, Stock and Two Smoking Barrels (1998)",8.1
110,The Big Lebowski (1998),8.1
115,Bacheha-Ye aseman (1997),8.1
116,Fargo (1996),8.1
117,Trainspotting (1996),8.1
125,Before Sunrise (1995),8.1
131,In the Name of the Father (1993),8.1
142,Dead Poets Society (1989),8.1
147,Tonari no Totoro (1988),8.1
160,The Thing (1982),8.1
161,Blade Runner (1982),8.1
164,Raging Bull (1980),8.1
165,The Elephant Man (1980),8.1
171,The Deer Hunter (1978),8.1
176,Barry Lyndon (1975),8.1
178,Jaws (1975),8.1
179,Monty Python and the Holy Grail (1975),8.1
181,Chinatown (1974),8.1
195,The Great Escape (1963),8.1
201,Y jinb  (1961),8.1
204,Ben-Hur (1959),8.1
209,Smultronst llet (1957),8.1
212,The Bridge on the River Kwai (1957),8.1
214,Det sjunde inseglet (1957),8.1
217,On the Waterfront (1954),8.1
218,Dial M for Murder (1954),8.1
220,T ky  monogatari (1953),8.1
221,Le salaire de la peur (1953),8.1
225,Rash mon (1950),8.1
227,The Third Man (1949),8.1
229,The Treasure of the Sierra Madre (1948),8.1
239,Gone with the Wind (1939),8.1
240,Mr. Smith Goes to Washington (1939),8.1
248,The General (1926),8.1
